city,year,AQI,PM2.5,PM10,SO2,CO,NO2,O3,excellent,good,low,mid,high,severe,pop_density,pop,green,passenger,con_area,car,ind_SO2,ind_smoke,power,gdp,gdp_rate,invest,ind_control,gas_control,lat,long,height,wind_speed,pressure,mean_temp,humid,rain,sun,low_temp,high_temp,heating,coast
北京,2014,125.4166667,84.83333333,116.5833333,20.66666667,1.273666667,54.83333333,99.08333333,28,139,85,65,30,14,812.5,2151.6,47.4,52354,216.777,435.7891,40347,22710,937.0485,21944.1,7.4,7562.3,7.6,6.2,3948,11628,313,2.083333333,1012.958333,14.06666667,51.75,461.5,2344.1,-11.2,41.1,1,0
北京,2015,121.5,80.25,100.5833333,12.75,1.301833333,48.91666667,99.08333333,50,131,71,57,37,16,819.57,2170.5,48.4,49931,200.091,439.33,22070,12987,952.7169,23685.7,6.9,7990.9,10,6.7,3948,11628,313,2.133333333,1013.191667,13.7,54.91666667,458.6,2420.3,-9.2,38.9,1,0
北京,2016,113.1666667,73,96.83333333,9.75,1.160083333,48.08333333,95.75,61,129,85,49,30,9,830.54,2173,48.4,48039,227.214,452.0409,10257,7874,1020.2704,25669.1,6.8,8461.7,9.9,9.5,3948,11628,313,2.09,1013.083333,13.83333333,51.58333333,669.1,2502.1,-15.2,37.8,1,0
北京,2017,102.25,57.33333333,84.41666667,7.75,1.009166667,46.08333333,98.5,63,165,75,36,18,6,828.36,2171,48.42,44940,215.127,466.61,3799,4282,1066.8903,28014.9,6.7,8948.1,15.6666,7.8542,3948,11628,313,2.039166667,1013.1125,14.15,50,576.2,2600.1,-10.1,38.5,1,0
天津,2014,121.0833333,86.66666667,135.25,48.08333333,1.67275,54.5,82.91666667,8,160,116,39,34,6,853.12,1516.81,34.93,14530,230.291,235.1536,195395,112129,794.36,15964.54,10.1,10490,22.1,15.1,3905,11704,25,2.625,1016.7,14.03333333,58.58333333,441.4,2265.6,-11.2,40.5,1,1
天津,2015,103,69.66666667,120.25,28.83333333,1.367916667,41.41666667,76.91666667,38,183,88,28,21,5,861.79,1546.95,36.38,14218,219.6573,234.68,154605,73795,800.6,16794.67,9.4,11815,24,20.6,3905,11704,25,2.7,1016.841667,13.65,58.75,574.2,2221.1,-9.8,38.8,1,1
天津,2016,103.9166667,68.58333333,107.5833333,21.08333333,1.372833333,48.08333333,85.25,25,199,88,23,24,6,876.06,1562,37.22,13741,93.4976,234.3905,54539,57280,807.93,17837.89,9.1,12779.39,10.4,6.3,3905,11704,25,2.698333333,1016.658333,13.78333333,58.08333333,608.6,2327.4,-16.4,36.5,1,1
天津,2017,107.75,61.83333333,93.25,16.25,1.365916667,50.25,104.4166667,26,179,103,32,19,4,881.09,1557,36.84,12538,152.312,242.51,42323,44480,805.59,18549.19,3.6,11288.92,7.8305,5.9536,3905,11704,25,2.735,1016.515,14.225,54.83333333,512.9,2452.8,-9.9,38.9,1,1
石家庄,2014,160.8333333,118.3333333,206.5833333,66.66666667,1.44875,50.25,83.66666667,10,94,107,51,60,41,781.85,1061.62,44.05,6641,49.6787,191.7589,156030,104277,449.6414,5170.2653,7.9,5076.43,15.640232,13.70716962,3804,11421,1036,1.86655722,1004.383333,14.925,55.41666667,294.8,1585.4,-8.9,42.8,1,0
石家庄,2015,123.6666667,88,147.75,48.75,1.374166667,49.33333333,79,28,148,102,37,31,17,788.14,1070.16,44.41,5976,40.839,191.6,113652,87128,443.1195,5440.5988,7.5,5689.9,9.893288824,7.520359771,3804,11421,1036,1.86655722,1004.616667,14.575,56.41666667,534.5,2004.1,-9.4,39.5,1,0
石家庄,2016,135.6666667,98.33333333,163.25,40.91666667,1.56975,57.33333333,84.58333333,22,153,83,36,48,23,795.04,1078.46,44.53,4582,39.6323,202.669039,85815,52705,452.1861,5927.7293,6.8,5916,4.583898469,4.25119616,3804,11421,1036,1.86655722,1004.416667,14.56666667,58.16666667,712.6,1917.1,-14.5,38.1,1,0
石家庄,2017,133.9166667,84,150.3333333,33.33333333,1.456916667,54.08333333,103.25,6,144,115,48,32,18,692.03,1087.99,44.42,3824,42.4272,227.8,36633,27056,468.1,6460.9,7.3,6310.1,6.509804541,4.981433156,3804,11421,1036,1.86655722,1004.557926,14.98333333,53.58333333,558.5,2242.9,-8.6,39.5,1,0
太原,2014,103.0833333,68.25,129.4166667,68.08333333,1.682916667,35.41666667,66.08333333,18,183,102,34,25,1,529.11,429.89,40.5,1027,46.3618,87.82,83648,59441,253.2793,2572.1208,3.3,1746.09,6.26830855,4.655881913,3747,11233,7783,1.925,927.4166667,10.94166667,58.08333333,428.7,2513.5,-16.8,36.5,1,0
太原,2015,92.91666667,60.25,111.9166667,69.25,1.624666667,36.91666667,70.08333333,27,205,100,19,11,1,525.19,431.8675,40.3,1085,48.3054,99.2,64656,34473,240.3597,2780.0811,9,2025.61,6.07561379,3.505999355,3747,11233,7783,2.083333333,927.3666667,11.325,57.58333333,403.6,2710.3,-15.9,36.4,1,0
太原,2016,103,66.08333333,125.0833333,68.33333333,1.550916667,45.5,77.91666667,26,209,78,27,17,8,529.48,434.4429,40.85,876,57.1647,114.3,15707,21897,250.7,3002.9419,7.5,2027.71,6.92610816,5.26936468,3747,11233,7783,2,927.325,11.2,59.08333333,528.4,2730.4,-20.9,35.2,1,0
太原,2017,114.5,63.83333333,128.0833333,54.58333333,1.385166667,54.16666667,97.83333333,11,165,134,30,16,7,528.05,437.97,43.43,876,55.6506,129.5,9759,17086,270.55,3382.1819,7.5,964.86,11.22225432,9.386716658,3747,11233,7783,1.8675,927.6633333,11.45,57.25,521.2,2622,-15.7,37.9,1,0
呼和浩特,2014,86.58333333,44,115.8333333,46.5,1.907333333,44.66666667,67.08333333,29,227,92,9,6,0,138.41,303.06,40.27,699,15.2732,68.14,91360,67616,190.7568,2894.0529,8,1736.5,12.62164894,11.53048703,4049,11141,10630,3.441666667,886.5333333,7.675,45.91666667,394.8,2517.2,-20.8,33.9,1,0
呼和浩特,2015,86.25,42.75,103.8333333,34.41666667,1.280833333,38.58333333,81.83333333,48,224,67,11,12,1,139.07,305.96,37,649,55.7445,76.938993,67279,37983,187.6982,3090.52,8.3,1618.6,7.608656649,6.378099424,4049,11141,10630,3.341666667,886.6416667,7.658333333,46.91666667,361.9,2666.3,-20.5,33.9,1,0
呼和浩特,2016,84.08333333,40.16666667,93.5,28.33333333,1.19675,41.58333333,91.41666667,60,220,63,18,3,1,138.09,308.87,38.3,466,11.7074,85.737985,52316,79103,195.7993,3173.59,7.7,1849.2,7.107625951,5.619576183,4049,11141,10630,3.4275,886.5166667,7.083333333,49,531.3,2838.4,-27.1,32.6,1,0
呼和浩特,2017,89.83333333,42.91666667,93.91666667,28.91666667,1.30875,45.41666667,100.6666667,38,216,88,18,1,2,139.23,311.48,39.87,435,41.7059,94.536978,31024,111036,217.88,2743.72,5,1490.8,7.179858146,4.495953394,4049,11141,10630,3.3875,886.7725,7.741666667,44,325.3,2746.4,-22.8,34.9,1,0
沈阳,2014,111.3333333,74.33333333,124,82.5,1.0765,52.16666667,93.08333333,9,185,109,33,23,3,568.3,828.7,41.78,20801,217.477,115.138,131344,83226,296.3291,7098.7051,6,6564.06,9.472683598,8.084017939,4144,12331,490,2.208333333,1010.566667,9.2,58.58333333,362.9,2690,-25.9,35.4,1,0
沈阳,2015,110.0833333,72.16666667,115.25,66.16666667,1.027833333,47.75,86.5,26,182,95,29,23,8,567.65,829.1,41.78,15554,83.4131,134.6,97839,84871,307.2,7272.3051,3.4,5326,4.819621186,3.627399103,4144,12331,490,2.175,1010.616667,9.008333333,61.83333333,573.2,2412.8,-23.1,35,1,0
沈阳,2016,90.66666667,53.83333333,94.25,47.58333333,0.929166667,40.5,94.41666667,40,209,92,12,12,0,570.76,829.2,36.03,15244,70.5807,156.7,37530,30130,325.6,5546.4498,-5.6,1631.6,4.836679543,4.487640813,4144,12331,490,2.110833333,1010.525,8.825,62.83333333,968,2422.1,-24.8,35.2,1,0
沈阳,2017,90.66666667,49.33333333,83.16666667,36.91666667,0.954833333,40.41666667,98.91666667,38,218,72,25,10,0,573.09,829.4,38.88,14780,69.6708,179.3,25904,20489,338.6,5865,3.5,1484,3.26884775,2.527744237,4144,12331,490,2.085,1010.315,9.333333333,58.75,463.8,2556.3,-22.3,37.5,1,0
大连,2014,78.75,52.33333333,85.41666667,28.25,0.804333333,39,71.75,68,214,55,19,5,1,472.63,698.4,44.84,10354,105.434,94.2315,94370,72465,310.4773,7655.6,5.8,6773.6333,10.21581761,8.718210838,3854,12138,915,3.083333333,1005.991667,12.35,61.33333333,436.5,2694.4,-10.3,33.5,1,1
大连,2015,87.16666667,47.66666667,81,29.5,0.790333333,32.83333333,99.16666667,46,220,72,15,7,3,472.4,698.7,44.93,7730,82.354,94.2,95796,54112,307.9076,7731.6363,4.2,4559.2792,5.124036685,3.856511821,3854,12138,915,2.95,1005.958333,12.09166667,62.5,581.6,2674,-12.7,36.6,1,1
大连,2016,78.25,38.66666667,67.66666667,25.91666667,1.000333333,30.25,106.4166667,63,231,52,15,4,0,473.99,698.7,43.14,7647,44.962,117.5097,51021,32710,321.0706,6810.1998,6.5,1436.3557,5.938709489,5.510142824,3854,12138,915,2.873333333,1005.95,12.025,60.91666667,380.2,2665.7,-18.8,33,1,1
大连,2017,74.08333333,33.5,57.75,17.41666667,0.949416667,27.83333333,105.5833333,92,205,54,8,4,0,473.2,698.7,46.56,7564,37.456,130.158446,34282,28931,338.0471,6989.8246,7.1,1652.8,3.895766823,3.012530068,3854,12138,915,2.8525,1005.93,12.44166667,57.58333333,521.7,2684,-10.5,34,1,1
长春,2014,97.91666667,65.5,113.0833333,36,0.9285,44.16666667,83.33333333,20,220,75,31,12,5,366.39,754.5,38.84,8883,60.695298,96.5955,56210,70944,188.5731,5342.4,6.6,3924.5,6.347494845,5.92174824,4354,12513,2368,2.483333333,987.35,7.141666667,57.16666667,446,2674.5,-26.9,34.4,1,0
长春,2015,100.9166667,64.41666667,102.5833333,33.83333333,0.88,43.5,92.75,35,196,89,17,18,8,366.13,753.8,38.76,8594,61.47753,111.1,52369,80781,192.789,5592.2,6.5,4400,4.811561864,3.380022797,4354,12513,2368,2.65,987.1083333,7.175,60.16666667,530.5,2695.7,-25.4,34.1,1,0
长春,2016,81.33333333,46.16666667,78.5,28.25,0.86925,39.66666667,88.08333333,51,237,57,15,5,0,365.64,753.4,38.53,7113,65.222178,128.1,21893,24451,192.9273,5986.4,7.8,4659,3.97019111,1.944583401,4354,12513,2368,2.744166667,987.1416667,6.633333333,63.33333333,890.8,2711.2,-28.2,32.9,1,0
长春,2017,82.83333333,45.58333333,77.66666667,26.41666667,1.18,40.16666667,89.33333333,65,210,62,15,9,2,363.7,749.8,41.36,6592,66.87305,143.3,14300,18268,224.7695,6495,8,5194.8,3.94197402,3.68946725,4354,12513,2368,2.671666667,986.6916667,6.975,59.58333333,694.3,2801.6,-23.8,33.4,1,0
哈尔滨,2014,102,72,109.1666667,55.75,0.921666667,52.16666667,66.41666667,59,178,45,38,29,14,186.04,987.3,35.5,9228,10.047,80.8305,60028,130401,200.38,5340.1,6.9,4176,6.320325705,5.716699093,4545,12646,1423,2.541666667,1000.75,5.066666667,62.58333333,415.8,2055.9,-32.7,36.2,1,0
哈尔滨,2015,100.5,69.66666667,102.4166667,39.16666667,0.992666667,49.66666667,62.41666667,82,150,72,17,31,11,180.98,961.4,35.41,8316,54.571,116.6,49346,67433,204.8,5751.2,7.1,4595.7,7.358829781,5.147367981,4545,12646,1423,2.725,1000.333333,5.616666667,64.16666667,420.1,2090.7,-29.6,35.3,1,0
哈尔滨,2016,78.83333333,51.25,74.66666667,28.91666667,1.140416667,43.83333333,65.83333333,102,181,56,18,7,1,181.17,962,33.6,7448,59.984,145.862676,26217,21781,215.3,6101.6,7.3,5040.1,6.900248211,6.107116233,4545,12646,1423,2.805,999.9,4.95,69.16666667,537.8,2180.8,-31.4,34.3,1,0
哈尔滨,2017,91.33333333,57.25,83.75,25.41666667,1.108833333,44.33333333,86.25,90,180,47,17,21,8,179.93,1092.9,33.74,6784,44.8215,165.7,19168,34857,221.8,6257.2,6.7,5395.5,3.589217182,2.715599674,4545,12646,1423,3.065833333,999.61,5.133333333,63.66666667,480.8,2277.2,-27.7,34.6,1,0
上海,2014,80.33333333,52.33333333,73,18,0.815916667,43.66666667,99.16666667,45,231,64,18,5,0,2269.23,2426,38.43,3754,180.1006,183.304,155360,131433,1369.03,24068.2,7.1,6013,17.8,9.8,3124,12127,55,2.633333333,1016.233333,16.975,73.33333333,1295.3,1612.6,-4.1,35.2,0,1
上海,2015,88.5,53.66666667,72.91666667,16.58333333,0.85675,45.75,105.4166667,50,204,77,25,7,0,2275.67,2415,38.5,3766,178.8594,208.65,104900,111400,1405.55,25659.18,7,6349,21.2,7.4,3124,12127,55,2.491666667,1016.391667,17.00833333,73.75,1648.8,1495.6,-4.8,38.5,0,1
上海,2016,80.75,44.66666667,64.41666667,14.66666667,0.788583333,43.33333333,102.9166667,71,201,73,18,2,0,2286.71,2420,38.6,3402,177.3325,242.6626,67376,72782,1486.02,28183.51,6.8,6755.88,51.9,33.2,3124,12127,55,2.535833333,1016.183333,17.63333333,74.58333333,1596.1,1668.6,-7.8,39.2,0,1
上海,2017,83.66666667,38.25,55,11.58333333,0.808166667,44.08333333,111.6666667,58,216,70,17,2,0,2294.59,2418,39.1,3420,411.975,274.38,12651,30262,526.77,30632.99,6.9,7246.6,44.824,13.3451,3124,12127,55,2.490833333,1016.763333,17.74166667,70.58333333,1388.8,1809.2,-4.2,39.1,0,1
南京,2014,106.1666667,73.91666667,123.3333333,23,0.901416667,50.75,99.41666667,23,169,124,25,19,2,984.85,821.61,44.14,10596,115.7014,148.55,103949,96177,470.4973,8956.05,10.1,5460.03,6.673523376,5.27001949,3200,11848,71,2.6,1012.683333,16.44166667,74,1091.1,1863.8,-5.6,36.5,0,0
南京,2015,95.41666667,56.58333333,96.75,19,0.97425,49.83333333,101.5,31,199,96,26,11,0,991.35,823.59,44.47,9166,115.1589,172.06,101021,84128,495.1753,9861.56,9.3,5484.47,8.748156023,5.639888368,3200,11848,71,2.508333333,1012.791667,16.40833333,73.33333333,1765.6,1848.2,-4.9,37.3,0,0
南京,2016,90.25,47.75,86.08333333,18.25,1.090166667,44.25,106.3333333,49,192,97,24,3,0,1006.53,827,44.75,8490,192.2882,192.71,28639,48592,524.7863,10662.28,8,5533.56,10.30567605,6.461713996,3200,11848,71,2.541666667,1012.55,11.975,72.91666667,1807.7,1856.1,-21.8,38.5,0,0
南京,2017,86.5,39.58333333,75.66666667,15.5,1.056833333,47.33333333,106.6666667,61,201,84,14,2,1,1033.85,833.5,44.9,8404,95.0645,201.56,15416,40233,556.9607,11715.1,8.1,6362.21,6.11199226,3.136700529,3200,11848,71,2.439166667,1012.889167,17.03333333,71.91666667,1255.1,2037.4,-4.6,40,0,0
杭州,2014,90.33333333,61.33333333,95.08333333,20.08333333,0.887833333,46.41666667,95.58333333,20,211,108,17,7,0,431.28,889.2,40.57,17431,208.7758,179.9442,80349,70346,640.19,9206.1634,8.2,4952.701,15.4914042,9.487339261,3014,12010,417,2.133333333,1011.45,17.53333333,73.16666667,1359.9,1407.2,-3.3,37.9,0,0
杭州,2015,87.33333333,55.5,83.25,15.5,0.904333333,46.33333333,94.33333333,43,201,98,15,6,0,436.25,901.8,40.43,16591,216.8634,184.9,63814,49176,646.38,10050.2079,10.2,5556.32,13.73258066,8.764479804,3014,12010,417,2.091666667,1011.65,17.48333333,75,2131.9,1315.8,-2.2,39.1,0,0
杭州,2016,85.58333333,48.91666667,79.58333333,11.83333333,0.839083333,44.75,95.83333333,48,210,92,12,3,0,443.48,918.8,40.7,12282,178.9618,192.2663,39499,20414,678.29,11313.7223,9.6,5842.42,14.41410538,8.835224063,3014,12010,417,2.216666667,1011.383333,18.15833333,75.25,1797.3,1522.4,-8.2,40.3,0,0
杭州,2017,84.91666667,44.75,71.91666667,11.16666667,0.92975,45.33333333,100.0833333,62,209,69,20,3,0,454.33,946.8,39.96,13019,188.0744,199.9,26497,16343,738.03,12603.3629,8.1,5856.65,8.983843666,5.850304237,3014,12010,417,2.285833333,1011.969167,18.25,71.08333333,1442,1818.4,-2.5,41.3,0,0
宁波,2014,72.66666667,45.58333333,72,22,0.959416667,41.16666667,93.25,75,227,53,7,1,0,594.72,781.1,38.28,12144,157.7337,123.7026,118102,30577,576.78,7610.28,7.6,3989.4626,12.80597774,7.842714179,3002,12206,357,2.133333333,1012.133333,17,80.33333333,1655.9,1650,-2.6,35.2,0,1
宁波,2015,78.75,44.5,69.58333333,15.41666667,0.887166667,42.66666667,99.25,64,233,52,9,5,0,598,782.5,38.31,9430,144.866,145.1,101980,28128,585.07,8003.61,8,4506.58,10.93611405,6.979704191,3002,12206,357,1.991666667,1012.291667,17.10833333,80.75,1841.2,1422,-3.7,37.3,0,1
宁波,2016,72.16666667,38.5,62.08333333,12.91666667,0.789,39.16666667,96.83333333,82,227,54,2,0,0,602.08,787.5,39.8,4813,47.662907,166.1613,41928,24009,646.5408,8686.49,7.1,4961.3931,11.06691316,6.783539797,3002,12206,357,2.016666667,1012.033333,17.79166667,82.18333333,1806.0994,1600.6,-5.4,37.2,0,1
宁波,2017,74.5,37,59.75,10.25,0.822916667,38.41666667,99.58333333,82,227,50,3,1,0,608.19,800.5,39.85,4303,124.8286,185.3953,25535,19722,709.23,9842.06,7.8,5009.6,7.01555046,4.568546171,3002,12206,357,2.078333333,1012.660833,17.76583333,79.70083333,1394.6996,1906.8,-1.7,39.3,0,1
合肥,2014,107.5,79.91666667,110.9166667,19.16666667,1.023333333,26.91666667,49.83333333,25,168,116,28,19,6,622.81,770,45.2,16841,101.48,77.1032,42364,106284,226.1427,5180.56,10,5096.41,4.373300845,3.727245039,3147,11718,270,1.925,1013.583333,16.5,75.83333333,1180.2,1539.4,-6.4,37.7,0,0
合肥,2015,91.16666667,65.16666667,95.08333333,16.66666667,1.036416667,31.91666667,65.41666667,37,218,77,15,16,0,627.35,779,42.93,11211,99.982,96.4331,40829,85036,243.257,5660.27,10.5,5851.9,4.604223237,3.395293114,3147,11718,270,1.933333333,1013.716667,16.7,75.58333333,1258.2,1533.5,-5.7,37.1,0,0
合肥,2016,89.33333333,57.33333333,88.83333333,15.08333333,0.970916667,45,92,48,212,75,23,7,0,637.83,787,41.78,10127,104.929,121.1845,9011,11483,267.2024,6274.38,9.8,6501.17,10.66825729,5.346981967,3147,11718,270,1.925,1013.316667,16.99166667,76,1502,1653.6,-9.8,39.1,0,0
合肥,2017,94.5,56,79.33333333,12.33333333,0.97175,52,100.25,48,175,115,19,6,0,649.19,797,43.07,8284,82.8356,144.9,9379,13599,296.0923,7003.05,8.5,6351.43,6.712098648,5.123957866,3147,11718,270,1.854166667,1013.7925,17.09166667,74.58333333,951.9,1675.8,-5.1,41.1,0,0
福州,2014,63,31.83333333,62.83333333,8,0.855333333,32.33333333,92,74,263,24,0,2,0,516.56,743,42.92,12700,75.9891,74.193132,56385,105712,378.4,5169.1647,10.1,4388.62,9.111023027,3.953840181,2605,11917,840,2.2,1005.075,20.75833333,72.41666667,1628,1591.7,2,37.9,0,1
福州,2015,55.58333333,28.66666667,54.91666667,6,0.712833333,31,79,141,211,11,0,0,0,534.91,750,43.41,12729,78.0001,83.255575,55370,90911,360.09,5618.0844,9.6,4853.61,9.66628609,4.73583144,2605,11917,840,2.191666667,1005.391667,20.68333333,75.58333333,1778.2,1319,2.6,38,0,1
福州,2016,54.58333333,27.25,52.91666667,6.25,0.7175,30.33333333,76.58333333,165,195,5,0,0,0,542.01,757,43.87,10152,77.6077,92.797788,39196,67548,409.33,6197.6395,8.5,5184.36,4.861639464,1.35523578,2605,11917,840,2.2275,1005.016667,21,77.33333333,2263.4,1287.2,-1.9,38.7,0,1
福州,2017,60,27.16666667,51.41666667,6.5,0.738083333,28.58333333,93.16666667,130,217,16,0,0,0,565.67,766,44.36,9390,79.4759,102.34,34137,48554,424.44,7085.5222,8.7,5823.39,3.24516978,2.520282947,2605,11917,840,2.169166667,1005.618333,21.15,72.66666667,1478,1632.4,4,39.3,0,1
厦门,2014,57.33333333,35.58333333,57.16666667,14.41666667,0.653916667,33.41666667,87.66666667,109,231,21,1,0,0,1293.32,381,41.87,3327,42.1986,67.8344,16144,4561,209.32,3273.54,9.2,1573,5.769848718,2.503896614,2429,11804,1394,2.416666667,997.7333333,21.325,76.5,1084.5,1971.6,4.3,36.6,0,1
厦门,2015,49.75,29.66666667,50.25,9.25,0.5985,28.5,66.58333333,193,167,2,1,0,0,1241.91,386,41.87,3627,43.3383,88.6,17028,2414,211.3,3466.01,7.2,1896.5,5.963499632,2.921714585,2429,11804,1394,2.475,998.125,21.56666667,78.91666667,1480.9,1827.1,5.9,38.5,0,1
厦门,2016,51.66666667,28.08333333,49.25,10.75,0.625,30.91666667,65.5,160,171,4,0,0,0,1300.77,392,42.93,4139,43.122,102.588128,4033,1183,229.96,3784.25,7.9,2159.8,2.96849456,0.827500696,2429,11804,1394,2.683333333,997.7858333,21.57083333,80.09583333,2168.1989,1590.7,0.1,35.9,0,1
厦门,2017,53.25,27.25,48,10.91666667,0.5915,32.16666667,79.41666667,156,174,3,0,0,0,1358.02,401,43.59,4336,42.877,116.576255,2525,734,248.97,4351.18,7.6,2381.46,1.992840816,1.547691821,2429,11804,1394,2.745,998.2083333,21.76,75.17,987.4998,2179.3,6.9,36.4,0,1
南昌,2014,74.91666667,51,80.33333333,24.16666667,1.041333333,30.08333333,76.5,73,221,53,12,3,1,699.45,524.01,42.08,3831,140.3558,49.067,37049,29435,153.506,3705.55,9.8,3463.22,2.900371501,2.381605867,2836,11555,467,1.675,1009.75,18.81666667,74.16666667,1890.5,1810.5,-2.6,37.2,0,0
南昌,2015,68.75,41.41666667,74.16666667,24.5,0.9425,29.5,78.16666667,87,225,46,3,2,0,702.51,530.29,41.11,3914,148.6777,49.1,30399,24818,164.3427,4011.88,9.6,4021.47,3.550382988,1.871147791,2836,11555,467,1.7,1010.025,18.65833333,75.41666667,2204.7,1651.4,0.2,36.7,0,0
南昌,2016,73.66666667,42.75,78.75,16.66666667,0.977166667,32.83333333,88.16666667,97,222,33,8,4,1,706.57,537.14,40.84,3001,152.594,48,13800,33926,185.2,4395.68,9,4576.7338,2.471218552,1.663320179,2836,11555,467,1.725,1009.708333,19.03333333,75.16666667,1869,1799.3,-5.3,38.6,0,0
南昌,2017,75.58333333,40.5,75.41666667,14.75,1.13675,37.08333333,93,93,209,52,6,3,0,709.27,546.35,43.94,2953,163.086,54,12128,23416,205.97,4819.76,9,5157.29,2.563183142,1.756922977,2836,11555,467,1.661666667,1010.344167,19.16666667,72.66666667,1698.8,1853.5,-0.3,38.8,0,0
济南,2014,131.3333333,88.58333333,172.4166667,68.66666667,1.2135,54.25,108.6666667,0,93,181,54,28,7,691.93,904.6,44.71,5588,81.71,144.8486,64029,32196,337.8,8850.54,8,5766,21.08881671,19.07823037,3636,11703,1703,2.525,996.775,15.38333333,54.58333333,521.4,2168,-11.2,39.1,1,0
