city,year,AQI,PM2.5,PM10,SO2,CO,NO2,O3,excellent,good,low,mid,high,severe,pop_density,pop,green,passenger,con_area,car,ind_SO2,ind_smoke,power,gdp,gdp_rate,invest,ind_control,gas_control,lat,long,height,wind_speed,pressure,mean_temp,humid,rain,sun,low_temp,high_temp,heating,coast
济南,2015,128.4166667,89.75,161.8333333,46.83333333,1.3985,51.41666667,101.1666667,8,120,146,49,30,10,694.03,909.7,39.44,4372,89.71,166.7221,64029,28767,342.3,9472.4,8.1,6555.7,14.22310896,11.75736914,3636,11703,1703,2.233333333,996.9583333,15.025,57.58333333,713.8,2260.2,-10.1,39.9,1,0
济南,2016,117.3333333,75.33333333,146.0833333,37.5,1.24125,47.91666667,103.0833333,5,160,133,43,21,3,701.12,920.4,38.56,4532,91.01,190.4979,12908,9033,367.3,10193.29,7.9,7454.7,18.94070585,14.49023937,3636,11703,1703,2.283333333,996.7833333,15.39166667,56.91666667,1008.2,2213.7,-17,36.9,1,0
济南,2017,111.25,63.58333333,125.9166667,25.08333333,1.116583333,47.91666667,108.4166667,7,174,132,33,12,5,711.75,929.05,39.05,4534,95.33,212.2629,5137,7245,401.1,11037.28,7.5,7777.1,17.18628035,12.36063717,3636,11703,1703,2.245833333,996.9458333,15.65,54.33333333,615.5,2376.6,-8.9,37.4,1,0
青岛,2014,91.41666667,55,107.0833333,33,0.944583333,40.08333333,105.1666667,11,237,93,14,8,0,777.21,706.69,39.74,3729,91.827658,121.6458,67842,90082,261.4,5770.6,8.8,3063.4,13.75002268,12.4391095,3604,12020,760,3.225,1008.283333,13.75833333,69.91666667,666.9,2184.6,-6.9,35.1,1,1
青岛,2015,86,51,97.41666667,27.33333333,0.912416667,33.5,97.83333333,36,241,58,15,12,1,782.7,713.2,40,3663,101.89,137.7604,70327,92900,264.2,6100.23,8.1,3498.4,9.159688778,7.571751189,3604,12020,760,3.183333333,1008.308333,13.71666667,70.75,421.2,2117.9,-6.5,34.8,1,1
青岛,2016,79.25,44.58333333,86.83333333,21.58333333,0.779083333,33.33333333,95.41666667,60,236,52,10,5,2,791.45,723.31,40.31,3212,102.93,157.3886,28458,54677,279.9,6536.12,7.8,3974.3,12.14511962,9.291400847,3604,12020,760,3.183333333,1007.991667,13.86666667,68.33333333,484.2,2125.1,-15.1,33.1,1,1
青岛,2017,82,38,77.41666667,15.25,0.775916667,37.83333333,104.5,42,210,61,15,4,0,805.2,732.12,40.73,3192,120.3282,176.4575,16545,25060,276.3,7201.96,8,4363.6,11.21425783,8.065466717,3604,12020,760,3.302953789,1008.279278,14.14166667,67.08333333,729.1,2314,-6.2,36.9,1,1
郑州,2014,122.8333333,87.83333333,145.3333333,42.5,1.804333333,50.83333333,68.08333333,6,162,107,49,37,2,1259.47,938,40.2,13839,177.516,192.6642,120909,70053,496.85,6776.989,9.4,5259.6,10.76536453,9.019629738,3443,11339,1104,1.908333333,1003.766667,16.3,58.33333333,551.6,1894.2,-8.8,39.7,1,0
郑州,2015,135.0833333,95.91666667,167.4166667,33.16666667,1.532666667,57.08333333,89.75,6,121,131,57,34,14,1087.83,957,40.34,13914,232.059,215.0579,106498,71794,500.65,7311.5,10,6288,6.5206869,4.623759802,3443,11339,1104,1.85,1004,15.86666667,61.58333333,689.1,1729.5,-6.2,39.5,1,0
郑州,2016,121.3333333,77,142.0833333,29.08333333,1.49175,55.41666667,100.5833333,6,150,133,38,30,8,1110.66,972,43.64,11007,253.235,243.0561,34898,28977,502.89,8114,8.5,6998.6,13.07164324,11.06678998,3443,11339,1104,1.960833333,1003.691667,16.43333333,62.58333333,833,1915.8,-9.3,38.3,1,0
郑州,2017,96.75,57,101.8333333,21.16666667,1.129083333,54.25,104.0833333,11,154,123,39,29,7,1130.81,988,40.4,8815,237.72,285.3,24546,16890,543.22,9193.8,8.2,7573.44,10.41194136,5.785659182,3443,11339,1104,1.855833333,1004.048333,16.75,60.33333333,598.8,2115.6,-6,38.8,1,0
武汉,2014,112.8333333,80.5,113,32.08333333,1.200583333,52.66666667,95.41666667,21,145,136,26,29,6,965.47,1033.8,39.21,12748,102.3843,94.81,84500,21600,445.2202,10069.48,9.7,7002.8536,9.672566421,8.569231848,3037,11408,231,1.508333333,1013.141667,16.73333333,79.08333333,1208.6,1596.3,-6.4,37.1,0,0
武汉,2015,103.4166667,68.75,105.1666667,20,1.1105,49.66666667,95.5,26,168,121,29,16,3,967.44,1060.77,39.65,11381,110.6252,165.2,75035,20811,464.2788,10905.6,8.8,7725.2645,5.831045116,4.42864186,3037,11408,231,1.616666667,1013.291667,16.825,81.33333333,1432.8,1624.7,-5.2,36.4,0,0
武汉,2016,92.5,57.08333333,95.66666667,11.83333333,1.0075,46.16666667,89.91666667,51,186,95,26,7,0,973.28,1076.62,39.65,11484,118.031,196,17917,54089,491.3201,11912.61,7.8,7093.17,13.45691705,3.610392379,3037,11408,231,1.750833333,1013.033333,17.25,79.66666667,1827.1,1614.6,-9.4,38.4,0,0
武汉,2017,89.25,51.58333333,84.66666667,10,1.10875,50.33333333,86.25,56,198,86,15,7,1,996.62,1089.29,39.55,10410,119.1298,226,14100,42300,519.3651,13410.34,8,7871.6603,6.600903529,4.694854458,3037,11408,231,1.583333333,1013.56,17.28333333,80.75,1107.3,1662,-5,39.7,0,0
长沙,2014,100.9166667,74.91666667,89.33333333,23.5,1.108,40.08333333,72,36,189,89,22,22,5,568.22,731.15,40.13,9765,262.5172,128.508,19576,17323,227.4871,7934.66,10.5,5435.75,5.077042325,3.903159707,2812,11305,449,2.383333333,1007.583333,18.6,69.25,1386.8,1634.4,-3.5,38,0,0
长沙,2015,86.83333333,60,78,18.41666667,0.949083333,36.83333333,80.75,65,191,67,26,14,0,575.49,743.18,39.31,8606,258.5237,152.2538,15952,11641,246.4961,8630.52,9.9,6363.29,7.793748008,3.762499038,2812,11305,449,2.316666667,1001.441667,17.41666667,82.5,1538.3,1263.4,-1,36.4,0,0
长沙,2016,82.75,53.66666667,79.25,15.91666667,0.96,37.83333333,85.58333333,68,199,78,17,3,0,589.03,764.52,40.06,7578,279.8052,176.2027,6634,6890,284.8657,9356.91,9.4,6693.32,3.766326375,2.402145168,2812,11305,449,2.435833333,1001.233333,17.5,83.16666667,1704.8,1502.5,-6.6,38.6,0,0
长沙,2017,85.08333333,51.91666667,68.83333333,12.91666667,0.95225,39.75,89.75,84,177,73,17,11,1,600.03,791.8,41.5,6558,98.1409,176.2027,3532,7577,312.9,10535.51,9,7567.77,2.675288694,2.055301649,2812,11305,449,2.339166667,1003.683333,17.675,77.25,1684.2,1498.9,-1.7,39.5,0,0
广州,2014,77.41666667,47.75,68.5,16.66666667,0.993166667,46,94.75,58,218,71,14,1,0,1133.2,1308.05,41.5,78690,163.9888,179.2504,56527,10006,765.8542,16706.8719,8.6,4889.5,9.337735521,6.701488289,2310,11320,410,2.233333333,1004.925,21.69166667,78.58333333,2234,1613.6,1.3,37.2,0,1
广州,2015,67.83333333,38.91666667,60.41666667,12.5,0.967,45.41666667,82.75,96,215,42,10,0,0,1148.78,1350.11,41.6,85108,151.597,180.7,47846,9227,779.3233,18100.4136,8.4,5405.95,8.626045262,3.703979089,2310,11320,410,2.308333333,1005.225,22.25,78.08333333,2471.9,1594.3,4.8,37.6,0,1
广州,2016,69.75,36,56.91666667,11.75,0.962,46.16666667,82.5,112,197,45,9,2,0,1170.3,1404.35,41.8,91323,115.639,184.8977,20726,8951,823.5701,19547.442,8.2,5703.59,6.406626549,4.520902508,2310,11320,410,2.229166667,1004.75,21.925,81.75,2939.7,1451.8,1.2,38,0,1
广州,2017,76.25,35.41666667,55.83333333,12,0.938666667,52.41666667,93.25,74,220,60,6,3,0,1207.96,2702.67,42.5,91323,106.5849,191.2613,15285,8614,869.59,21503.15,7,5919.83,10.07429763,6.248614073,2310,11320,410,2.2,1005.303333,22.08333333,80.25,2067.4,1671.5,4.5,38.3,0,1
深圳,2014,54.16666667,33,56,8.166666667,1.07,32.83333333,75.58333333,157,191,14,0,0,0,1663.55,1077.89,45,6370,62.497,263.92,8079,725,788.68,16449.48,8.8,2717.42,9.193875108,6.598242822,2233,11400,630,2.125,1005.938166,23.23333333,72.91666667,1725.5,2034.6,4.4,35,0,1
深圳,2015,53.08333333,29.75,49.91666667,8.333333333,0.889333333,32.91666667,80.33333333,154,168,11,0,0,0,1777.67,1137.87,45,6574,70.1006,267.93,4132,1079,815.54,18014.07,8.9,3298.31,8.584896821,3.686310162,2233,11400,630,1.941666667,1005.938166,23.94166667,71.91666667,1500.8,1964.3,8.6,36.2,0,1
深圳,2016,54.83333333,27,42.66666667,8.25,0.805416667,32.91666667,85.41666667,186,167,11,1,0,0,1927.89,1190.84,45.11,5585,66.775,265.0617,4749,1741,851.08,20079.7,9.1,4078.16,6.581072813,4.644002325,2233,11400,630,1.833333333,1005.938166,23.175,79.25,2490.6,1759.3,1.7,36.7,0,1
深圳,2017,56.33333333,28.08333333,44.5,7.75,0.808166667,29.58333333,86.66666667,161,150,20,2,0,0,2178.27,1252.83,45.11,6001,56.7607,262.2439,1329,892,884.49,22490.06,8.8,5147.32,10.53666826,6.53540088,2233,11400,630,1.807247824,1005.938166,23.62566628,77.00535714,1967.1,1919.1,7.4,36.9,0,1
南宁,2014,73.33333333,48.16666667,81.91666667,16.41666667,1.061,36.16666667,78.41666667,90,201,53,14,5,0,328.03,691.38,49.36,6702,65.4109,71.0055,32077,27563,159.1232,3148.32,8.5,2933.8739,3.595694731,2.129294087,2238,10813,1216,1.441666667,998.1,21.63333333,82.08333333,1234.7,1416.4,-1.2,36.8,0,0
南宁,2015,64.33333333,41.08333333,71.66666667,12.66666667,0.9435,32,75.66666667,131,190,30,10,2,0,332.81,698.61,42.95,5973,51.7493,85.0231,30678,26008,166.8196,3410.08,8.6,3418.4261,5.012698594,3.795039017,2238,10813,1216,1.558333333,998.2666667,22.225,83.16666667,1222.3,1431.1,2.7,37.5,0,0
南宁,2016,58.91666667,36.58333333,63,12.33333333,0.900416667,31.83333333,74.33333333,148,198,18,0,1,0,338.07,706.22,42.12,5719,71.9735,88.329,9381,9693,189.5586,3703.33,7,3824.73,2.628247416,2.122815221,2238,10813,1216,1.631666667,997.975,22.28333333,80,1546.4,1582.9,1.5,38.9,0,0
南宁,2017,58.16666667,35.5,56.5,11.25,1.09775,34.91666667,74.33333333,185,152,25,1,0,0,340.32,715.33,42.28,5482,18.473193,113.1833,8384,9918,196.2368,4118.83,8,4307.95,1.686533035,0.973758417,2238,10813,1216,2.5325,995.1658333,21.91666667,79.83333333,1548.7,1632.2,7.5,37.9,0,0
海口,2014,41.08333333,22.41666667,40.16666667,5.333333333,0.69375,14.41666667,57.91666667,203,91,7,0,0,0,723.77,220.07,42.79,2100,22.5204,39.830508,1773,998,60.34,1091.7,9.2,1072.408,1.746360749,1.746360749,2000,11015,635,3.033333333,1004,24.65833333,82.58333333,1861.3,2112,8.3,37,0,1
海口,2015,42.83333333,21.5,39.25,5.166666667,0.668,13.08333333,69.58333333,214,82,5,1,0,0,716.15,222.3,42.9,2170,25.7166,47,2517,854,65.02,1161.96,7.5,1145.4,0.407951906,0.345190074,2000,11015,635,3.075,1004.416667,25.33333333,81.33333333,1673.2,2406.7,11,38.7,0,1
海口,2016,43.08333333,21.08333333,39.33333333,5.833333333,0.63325,16.25,75.66666667,245,85,4,1,0,0,724.83,224.36,40.29,2827,21.363638,56.29,593,156,70.34,1257.67,7.7,1212.8208,0.496465015,0.372348761,2000,11015,635,2.969166667,1003.966667,24.64166667,82.16666667,1913.7,2084.3,5.6,37.4,0,1
海口,2017,44.25,20.41666667,37.08333333,6.416666667,0.676916667,11.91666667,76.83333333,168,90,14,0,0,0,747.05,227.21,40.8,2666,19.036868,68.69,502,113,70.34,1390.58,7.5,489.3,1.067363805,0.975500654,2000,11015,635,3.044166667,1004.5025,24.63333333,82.16666667,2009.4,1994,11.1,37.9,0,1
重庆,2014,93,62.91666667,94.66666667,23.66666667,1.150166667,37.08333333,64.91666667,52,193,64,36,18,0,409.74,2991,40.6,63630,360.62,190.5811,474805,214774,867.21,14393.19,10.9,12141,5,3.4,2935,10628,2591,1.308333333,983.6166667,18.55,79.41666667,1452.1,598.4,2.3,40.5,0,0
重庆,2015,80.5,55.08333333,85.16666667,16.16666667,1.114,43.75,65.75,55,239,39,18,12,0,409.35,3017,40.3,57556,355.33,231.64,426800,196416,875.37,15872.23,11,14208,6,4.4,2935,10628,2591,1.383333333,983.3,19.6,75.25,1448.7,1129.8,3.4,38.5,0,0
重庆,2016,81,53.83333333,78.25,13.08333333,0.961583333,46.25,70.41666667,56,227,72,5,5,0,411.64,3048,40.76,55594,346.42,278.6357,174048,83787,918.78,17740.59,10.7,16048.1,3.7,2.7,2935,10628,2591,1.365,983.2416667,19.53333333,75.66666667,1348,1228.4,0.1,42.3,0,0
重庆,2017,80.5,45,72.08333333,12,1.00675,46.25,73,79,196,65,17,6,0,411.4,3075,40.32,53307,332.108,320.14,139880,68731,992.63,19500.27,9.3,17537.05,6.0702,4.9957,2935,10628,2591,1.328333333,983.5916667,19.375,75.08333333,1245.5,1154.4,4.7,42,0,0
成都,2014,103.8333333,72.91666667,117.0833333,18.16666667,1.09625,52.5,82.5,14,212,73,28,29,6,998.88,1442.75,35.86,15179,262.4091,277.7,50754,25574,478.0323,10056.5926,8.9,6620.4,8.175902447,5.814758206,3042,10350,5393,1.25,951.2083333,16,82.16666667,975,875.8,-3.3,35.6,0,0
成都,2015,99.66666667,62.33333333,105,15.41666667,1.097416667,50.58333333,94.58333333,27,185,107,22,21,1,1013.12,1465.75,39.84,14124,264.4211,328.5,37224,20607,486.3458,10801.1633,7.9,7007,4.240951081,1.68919238,3042,10350,5393,1.308333333,951.0666667,16.78333333,81.25,880.2,1038.4,-2.6,36.1,0,0
成都,2016,100.75,62.91666667,104.8333333,14.58333333,1.163333333,53.58333333,95.5,27,179,111,37,11,0,975.93,1591.76,41.39,12370,239.765,369.9,17318,12534,556.2783,12170.2335,7.7,8370.5026,4.286524378,2.328026171,3042,10350,5393,1.316666667,951.1583333,16.78333333,81.58333333,983.9,1088.5,-6.5,36.7,0,0
成都,2017,99,55.25,87.41666667,11.25,0.988416667,52.58333333,92.16666667,34,200,90,16,21,2,1001.05,1604.5,41.63,10053,223.969,398.2,11181,9936,569.9242,13889.394,8.1,9404.24,4.767511762,3.3042514,3042,10350,5393,1.295833333,951.6308333,16.58333333,81.25,966.9,1156.7,-2.5,36.5,0,0
贵阳,2014,66.41666667,45.5,68.41666667,21.91666667,0.765666667,27.5,68.5,103,209,43,8,0,0,476.08,455.6,43.5,69659,68.1579,63.4926,70533,29669,232.25,2497.2691,13.9,3421.76,4.985704071,4.554508044,2635,10644,12238,2.366666667,877.65,14.70833333,82.58333333,1562,956,-5.5,32.1,0,0
贵阳,2015,59.58333333,38.25,60.16666667,16.5,0.71,26.91666667,74.25,131,207,24,1,0,0,487.38,462.18,38.57,63580,68.4781,72.6195,57192,23545,239.85,2891.1581,12.5,2804.45,2.945509635,2.560115851,2635,10644,12238,2.45,877.8166667,15.20833333,83.75,1430.8,942.3,-3.5,32.4,0,0
贵阳,2016,61.66666667,36.66666667,64.58333333,13.83333333,0.722916667,28.58333333,82.08333333,119,230,14,1,1,0,498.57,469.68,40.74,62385,60.8675,80,40373,8475,236.74,3157.7101,11.7,3380.73,1.528348495,1.099338391,2635,10644,12238,2.533333333,877.7583333,15.29166667,79.91666667,1045.8,1160.2,-4.8,33.7,0,0
贵阳,2017,55,31.91666667,53.25,12.91666667,0.7735,26.58333333,75.58333333,168,178,17,0,0,0,507.27,480.2,40.9,68522,57.9077,90.59,50631,12983,249.61,3537.9637,11.3,3850.6,1.394196695,0.828418299,2635,10644,12238,2.399166667,878.2033333,15.15,80.08333333,1165.9,1100.7,-0.6,32.7,0,0
昆明,2014,56.75,32.41666667,63.5,19.75,1.06525,33.08333333,76.25,93,260,8,0,0,0,261.99,662.6,40.36,8173,87.7272,135.1,61456,26161,319.9,3712.99,8.1,3138.17,7.069828687,3.882610837,2501,10241,18924,2.558333333,810.525,16.38333333,65.58333333,1078.3,2636.4,-1.8,32.8,0,0
昆明,2015,53.66666667,29,55,17.33333333,0.955833333,28.58333333,80.25,151,204,8,0,0,0,301.86,667.7,40.64,8025,92.0041,154.5,74017,24533,313.55,3968.01,8,3497.88,6.293262805,3.875018301,2501,10241,18924,2.366666667,811.125,16.225,69.83333333,1190.7,2388.9,-1.9,31.1,0,0
昆明,2016,55.33333333,28.08333333,56.58333333,16.66666667,0.98525,27.75,82.58333333,139,223,3,0,0,0,266.34,672.8,41.88,7376,95.1845,175.2,80083,25188,313.55,4300.43,8.5,3920.07,3.693123471,2.733492963,2501,10241,18924,2.259166667,811.0583333,15.78333333,73.25,1150.2,2128.4,-4.5,30.5,0,0
昆明,2017,56.08333333,28.5,58.25,15.08333333,0.96575,32.16666667,79.33333333,150,208,5,0,0,0,264.56,678.3,41.92,5461,100.902,193.8,50882,36018,307.19,4857.64,9.7,4217.94,1.768392229,0.999094001,2501,10241,18924,2.186666667,811.245,15.7,72.83333333,1186.4,2349,-3.6,29.7,0,0
西安,2014,113,75.33333333,147.3333333,31.16666667,1.793333333,45.16666667,65.58333333,17,186,95,28,31,5,807.46,862.75,42.5,19282,111.8218,170.3443,62604,21985,275.3213,5492.64,9.9,5903.98,10.37053693,7.94867501,3426,10858,4100,2.325,968.7,15.2,61.25,660.2,1941.8,-6,40.6,1,0
西安,2015,96.41666667,57.91666667,127.5833333,23.83333333,1.767083333,43.25,74.91666667,14,241,70,17,20,1,808.16,870.56,42.62,19625,133.9294,197.2289,38691,16444,284.4836,5801.2,8.2,5165.98,9.013142477,5.568834459,3426,10858,4100,2.266666667,968.8083333,15.20833333,61.91666667,551.6,1795.9,-6.7,39.5,1,0
西安,2016,115.8333333,71.41666667,137.1666667,19.41666667,1.621416667,52.75,87,15,177,98,39,29,7,816.35,883.21,43.15,15773,147.271,221.9569,4914,2853,312.0582,6282.65,8.6,5191.36,6.315168259,5.084520085,3426,10858,4100,2.325833333,968.6416667,15.8,59.41666667,456,2140.3,-11.5,38.6,1,0
西安,2017,124.3333333,71.5,123.9166667,18.91666667,1.551666667,59,93.5,16,162,113,33,24,15,842.56,961.67,41.11,15601,158.4392,246.66,3904,2758,361.3693,7471.89,7.7,5119.3515,5.878001489,3.76685608,3426,10858,4100,2.144166667,969.1025,15.60833333,59.33333333,649.1,1966.1,-5.4,41.8,1,0
兰州,2014,90.16666667,57.33333333,117.4166667,25.41666667,1.415083333,43,67.75,14,239,88,13,5,4,286.31,366.49,28,3871,69.58101,34.74,67616,63801,139.6678,2000.94,10.4,1610.68,5.151012313,4.038861927,3621,10356,16685,1.616666667,832.8333333,7.7,59.08333333,355.6,2492.8,-20.4,35,1,0
兰州,2015,88.33333333,50.08333333,117,21.58333333,1.409,49.83333333,80.5,8,242,95,15,2,1,246.06,369.31,25.8,4067,76.1526,44.58,61240,45209,131.545,2095.99,9.1,1803.75,1.265560816,0.740816088,3621,10356,16685,1.683333333,832.975,8.325,56.66666667,191,2511.5,-18.4,36.9,1,0
兰州,2016,100.1666667,53.5,132.5833333,18.5,1.317333333,57,94.25,10,200,91,27,2,6,247.59,370.55,27.39,4213,66.9121,54.58,19192,15892,119.5118,2287.16,8.3,1990.95,3.494092665,1.81057529,3621,10356,16685,1.708333333,833.0833333,8.15,56.25,310,2734.5,-24.5,35.2,1,0
兰州,2017,102.8333333,45.33333333,103.25,20.16666667,1.255916667,57.16666667,101.3333333,8,219,112,13,2,9,249.12,372.96,30.93,4364,41.402,75.892617,20095,15786,301.88,2523.54,5.7,1315.35,2.535650618,1.092511338,3621,10356,16685,1.585833333,833.5641667,7.991666667,57.33333333,303,2439.2,-18.7,36.7,1,0
西宁,2014,90.33333333,60.91666667,116.25,36.75,1.278083333,33.25,58.83333333,19,235,91,13,3,2,264.92,229.07,37.92,1587,27.497579,25.24011,66772,71622,495.65,1065.78,13.5,1176.61,3.470360176,2.267301981,3643,10145,22952,1.033333333,770.725,5.716666667,59.08333333,446.5,2571.3,-20.9,31.4,1,0
西宁,2015,82.83333333,47.66666667,103.0833333,28.58333333,1.456333333,36.5,83.25,19,245,60,7,0,2,262.4,231.08,38.92,1709,18.9355,27.764121,57696,61783,462.42,1131.62,10.9,1295.95,2.294093213,1.170455721,3643,10145,22952,1.025,770.8833333,6.391666667,55.25,306.2,2590.1,-18.1,33.1,1,0
西宁,2016,86.41666667,48.66666667,111.3333333,31.33333333,1.449416667,42.16666667,80.75,24,249,82,7,2,1,265.01,233.37,40.57,1950,33.463199,30.540533,23303,28348,462.42,1248.16,9.8,1399.3,4.657874666,4.124159861,3643,10145,22952,1.110833333,770.9583333,6.625,56.91666667,444.1,2690.4,-23.2,33.1,1,0
西宁,2017,84.5,31.83333333,76.75,23.58333333,1.444583333,39.75,90.5,35,262,55,5,2,4,268.93,235.5,41,2112,22.3527,33.594586,24120,24144,429.19,1284.91,9.5,1600.03,0.748233194,0.28573354,3643,10145,22952,1.050833333,771.4875,6.291666667,57.25,464,2555.9,-17.7,34.6,1,0
银川,2014,81.83333333,46.58333333,102.8333333,59.41666667,1.19625,37.83333333,75.58333333,7,238,69,14,2,2,217.17,212.89,40.46,3366,11.611141,44.7,67563,27473,223.77,1388.6244,9.5,1371.92,13.77473425,11.10051844,3829,10613,11114,1.708333333,890.4916667,10.69166667,49.66666667,169.2,2738.8,-16.9,37.5,1,0
银川,2015,88.16666667,48.33333333,111.75,59.75,1.117583333,36.16666667,77.16666667,17,241,78,16,10,1,198.34,216.41,40.89,3602,42.3136,51.77,64883,18795,266.35,1493.859,8.3,1540.88,5.335632141,4.258244882,3829,10613,11114,1.691666667,890.5583333,10.725,50,227.1,2841.9,-15.1,38.1,1,0
银川,2016,95.66666667,54.75,112.8333333,54.5,1.174833333,36.83333333,95.58333333,10,218,73,25,8,1,203.88,219.11,41.51,3447,10.82778,60.65,24366,11220,266.35,1617.7071,8.1,1723.31,12.35518379,9.087697171,3829,10613,11114,1.694166667,890.5916667,10.675,50,264.9,2845.7,-20.5,36.1,1,0
银川,2017,98.58333333,44.5,98.66666667,47.91666667,1.181083333,41.83333333,107.5,9,225,101,20,5,3,209.42,222.54,41.86,2862,41.4419,69.67,13728,21023,308.92,1803.2581,8,1719.05,4.479972288,3.724015257,3829,10613,11114,1.5975,891.09,10.975,47.41666667,211.3,2894.5,-15.2,39.1,1,0
乌鲁木齐,2014,111.75,63.41666667,150.8333333,27,1.369916667,55,55.08333333,13,195,106,25,17,7,193.58,353,38.5,1055,68.04,55.78,71251,77076,149.87,2264.68,10.5,1519.15,7.741485487,6.813484072,4347,8739,9350,1.959895033,912.1166667,7.366666667,54.16666667,297,2986.9,-24.6,36.7,1,0
乌鲁木齐,2015,105.0833333,64.5,130.9166667,15.75,1.414166667,50.83333333,60.58333333,27,215,68,20,26,7,193.65,355,40.3,2012,58.1302,64.77,58978,45969,161.64,2387.31,10.5,1708.39,4.045073138,3.430631649,4347,8739,9350,1.959895033,911.8583333,8.783333333,57.75,408.9,2798.8,-20.7,40.6,1,0
乌鲁木齐,2016,109.75,73.08333333,122.5,14.41666667,1.468083333,53.25,59.33333333,49,197,39,22,44,14,194.37,351.96,40.9,1805,50.3892,77.71,40166,34024,215.04,2458.98,7.6,1607.78,3.720437734,2.013113568,4347,8739,9350,1.959895033,912.1,8.408333333,60.08333333,387.1,2719.8,-20.7,37,1,0
乌鲁木齐,2017,109.0833333,69.58333333,104.0833333,13.41666667,1.45,49.5,72.41666667,35,170,58,20,34,15,161.73,351.96,41.8,1467,51.1146,88.3,37483,39751,322.84,2730.65,8.1,1996.8748,3.38195834,2.034595171,4347,8739,9350,1.959895033,912.7723118,8.25,58.58333333,309.7,2667.9,-20.3,39.2,1,0
